date	Chinese	Indian  Malay
19840101	24.7	23.7	23.0
19850101	24.8	24.0	23.2
19860101	25.0	24.1	23.5
19870101	25.3	24.5	23.7
19880101	25.4	24.7	24.1
19890101	25.6	24.9	24.0
19900101	25.9	25.0	24.4
19910101	25.9	25.1	24.5
19920101	26.0	25.3	24.7
19930101	26.0	25.8	25.0
19940101	26.1	25.5	25.0
19950101	26.0	25.7	25.0
19960101	26.2	25.8	25.1
19970101	26.1	25.7	25.4
19980101	26.3	26.0	25.3
19990101	26.5	26.2	25.6
20000101	26.7	26.6	25.6
20010101	26.8	25.9	25.5
20020101	26.9	26.3	25.5
20030101	27.1	26.4	25.6
20040101	27.5	26.3	25.9
20050101	27.8	26.7	26.0
20060101	27.9	26.8	26.3
20070101	28.1	27.0	26.6
20080101	28.2	27.0	26.5
20090101	28.4	27.2	26.7
20100101	28.7	27.5	26.9
20110101	28.9	27.6	27.0
20120101	28.9	27.6	26.9
20130101	29.0	27.9	27.2
20140101	29.1	27.8	27.1
20150101	29.1	28.2	27.3
20160101	29.0	28.2	27.3
